month,day,0
1,9,0.007663638703281829
1,10,4.765944467215068e-05
1,15,0.00011438266721316164
1,17,0.00989410071393848
1,22,0.0025640781233617067
1,23,0.0058907073614778245
1,24,5.719133360658082e-05
1,28,0.003040672570083213
1,29,0.0028309710135257502
1,30,9.531888934430135e-06
1,31,0.003088332014755364
2,4,0.002659397012706008
2,6,0.005442708581559608
2,12,1.906377786886027e-05
2,13,0.00281190723565689
2,14,0.008616827596724844
2,18,3.812755573772054e-05
2,19,9.531888934430135e-06
2,21,0.008130701261068907
2,25,9.531888934430137e-05
2,26,0.0008006786704921314
2,27,0.008807465375413446
2,28,0.00140118767336123
3,1,0.0008959975598364328
3,3,0.0001048507782787315
3,5,2.859566680329041e-05
3,6,0.008635891374593703
3,7,0.0020684198987713396
3,11,0.001677612452459704
3,13,0.009979887714348353
3,14,9.531888934430135e-06
3,17,2.859566680329041e-05
3,20,0.012448646948365758
3,21,0.00011438266721316164
3,22,0.003364756793853838
3,24,9.531888934430135e-06
3,25,0.0022590576774599424
3,26,0.00018110588975417258
3,27,0.01055180105041416
3,28,0.0036316496840178816
4,1,0.0034219481274604187
4,2,0.000419403113114926
4,3,0.015851531297957317
4,8,0.00210654745450906
4,9,0.003974797685657366
4,10,0.012095967057791843
4,11,0.0021923344549189313
4,12,0.0064244931418059115
4,14,9.531888934430137e-05
4,15,0.0029072261250011914
4,18,0.002583141901230567
4,19,0.009350783044675964
4,22,0.010961672274594656
4,24,0.00908389015451192
4,25,0.009646271601643297
4,26,0.00845478548483953
4,29,0.009236400377462801
4,30,0.0020684198987713396
5,5,0.004823135800821649
5,6,1.906377786886027e-05
5,7,0.004680157466805197
5,8,0.011609840722135906
5,9,0.00024782911229518354
5,10,0.004403732687706723
5,12,0.0001048507782787315
5,14,0.005871643583608963
5,15,0.012353328059021456
5,16,0.0003336161127050548
5,17,0.005966962472953265
5,20,2.859566680329041e-05
5,22,0.014602853847546969
5,23,0.0036221177950834516
5,24,0.008321339039757509
5,27,0.0027547159020503095
5,29,0.002859566680329041
5,30,0.010218184937709106
5,31,2.859566680329041e-05
6,3,0.006224323474182879
6,5,0.009875036936069621
6,6,0.006033685695494276
6,7,0.0043179456872968515
6,12,0.005671473915985931
6,13,0.008254615817216497
6,14,0.0069106194774618485
6,17,0.0029453536807389122
6,18,0.0012486774504103478
6,19,0.010361163271725558
6,20,0.0026879926795092984
6,21,0.005785856583199093
6,24,0.011838606056562229
6,26,0.0039462020188540765
6,27,0.0014297833401645205
6,28,0.014478939291399377
7,1,0.0001048507782787315
7,5,2.859566680329041e-05
7,7,0.02112266587869718
7,8,0.009884568825004051
7,9,0.006014621917625416
7,10,0.0029739493475422025
7,11,0.00423215868688698
7,14,0.0056619420270515005
7,16,0.0025545462344272766
7,17,0.0029644174586077724
7,18,0.003021608792214353
7,19,0.02234274766230424
7,24,0.005509431804100619
7,25,0.013354176397136621
7,26,0.00423215868688698
7,29,7.625511147544108e-05
7,30,0.0029453536807389122
8,2,0.01054226916147973
8,6,0.020055094318041006
8,7,0.005652410138117071
8,8,9.531888934430135e-06
8,9,0.0004479987799182164
8,14,0.0090457625987742
8,16,9.531888934430135e-06
8,18,0.008283211484019788
8,20,0.0029072261250011914
8,22,0.01263928472705436
8,23,0.010303971938118977
8,25,0.0017252718971318547
8,26,2.859566680329041e-05
8,29,0.012896645728283975
8,30,0.006567471475822363
8,31,3.812755573772054e-05
9,2,0.007978191038118023
9,3,0.002659397012706008
9,4,0.007063129700412731
9,6,0.013058687840169286
9,8,9.531888934430137e-05
9,12,0.011028395497135668
9,13,0.012915709506152834
9,16,0.0021351431213123503
9,17,0.0014583790069678108
9,19,0.006739045476642106
9,20,0.003545862683608011
9,22,0.0027070564573781586
9,23,0.004070116575001668
9,24,0.00350773512787029
9,25,0.013706856287710536
9,26,0.00029548855696733423
9,27,1.906377786886027e-05
9,28,9.531888934430135e-06
9,29,6.672322254101095e-05
9,30,0.006948747033199569
10,2,0.013154006729513588
10,3,0.0016013573409842628
10,4,9.531888934430135e-06
10,8,0.00030502044590176433
10,9,0.008111637483200046
10,10,0.011085586830742249
10,11,0.0029930131254110627
