month,day,0
1,4,0.00309520861706079
1,6,0.0001238083446824316
1,10,0.0069332673022161695
1,12,0.006438033923486443
1,13,0.0002476166893648632
1,14,0.029094961000371424
1,15,0.0001238083446824316
1,18,0.0164665098427634
1,22,0.008666584127770213
1,23,0.006685650612851307
1,25,0.000619041723412158
1,26,0.0013618917915067476
1,28,0.009533242540547233
1,30,0.007428500680945895
2,5,0.024637860591803888
2,6,0.005323758821344559
2,7,0.00928562585118237
2,11,0.005695183855391853
2,15,0.004952333787297264
2,16,0.014361767983162065
2,17,0.0001238083446824316
2,18,0.0002476166893648632
2,19,0.005695183855391853
2,21,0.00544756716602699
2,25,0.0001238083446824316
2,26,0.0002476166893648632
3,4,0.016714126532128264
3,5,0.0164665098427634
3,6,0.004333292063885106
3,7,0.00619041723412158
3,11,0.0037142503404729477
3,13,0.013371301225702613
3,15,0.00544756716602699
3,18,0.007923734059675622
3,19,0.011885601089513434
3,21,0.00544756716602699
3,23,0.000619041723412158
3,26,0.002476166893648632
3,28,0.004457100408567538
3,31,0.007676117370310759
4,1,0.0001238083446824316
4,7,0.0004952333787297264
4,8,0.010276092608641823
4,9,0.004704717097932401
4,10,0.005942800544756717
4,11,0.0008666584127770212
4,18,0.0003714250340472948
4,19,0.0003714250340472948
4,22,0.012133217778878297
4,24,0.007057075646898601
4,27,0.0069332673022161695
5,4,0.009780859229912096
5,8,0.006809458957533738
5,9,0.0002476166893648632
5,10,0.005818992200074285
5,12,0.005818992200074285
5,14,0.012752259502290454
5,15,0.012504642812925591
5,18,0.01485700136189179
5,19,0.0004952333787297264
5,21,0.0002476166893648632
5,24,0.008047542404358054
5,26,0.0002476166893648632
5,27,0.002476166893648632
5,28,0.0035904419957905162
5,29,0.007057075646898601
5,30,0.0001238083446824316
6,4,0.0035904419957905162
6,7,0.005323758821344559
6,11,0.01089513433205398
6,12,0.009409434195864801
6,13,0.0007428500680945896
6,16,0.008295159093722916
6,19,0.007552309025628328
6,20,0.004457100408567538
6,28,0.010647517642689118
7,3,0.014980809706574224
7,4,0.008790392472452644
7,7,0.005571375510709422
7,8,0.01089513433205398
7,10,0.01324749288102018
7,11,0.012999876191655317
7,12,0.0009904667574594528
7,14,0.01857125170236474
7,15,0.012752259502290454
7,20,0.01163798440014857
7,21,0.00854277578308778
7,28,0.007304692336263464
7,29,0.01857125170236474
7,30,0.010647517642689118
8,6,0.004580908753249969
8,9,0.0035904419957905162
8,13,0.002476166893648632
8,18,0.0032190169617432214
8,22,0.007057075646898601
8,23,0.011018942676736412
8,24,0.005818992200074285
8,26,0.007057075646898601
9,9,0.011018942676736412
9,11,0.000619041723412158
9,12,0.02265692707688498
9,19,0.018447443357682308
9,20,0.010523709298006686
9,21,0.0069332673022161695
9,23,0.008418967438405348
9,25,0.016837934876810696
9,27,0.0003714250340472948
9,29,0.0001238083446824316
9,30,0.00854277578308778
10,2,0.000619041723412158
10,5,0.0003714250340472948
10,8,0.003961867029837811
10,11,0.0060666088894391484
10,17,0.0037142503404729477
10,19,0.0071808839915810324
10,22,0.0001238083446824316
10,23,0.007304692336263464
10,25,0.0033428253064256533
10,29,0.01324749288102018
11,2,0.0003714250340472948
11,4,0.01720935991085799
11,6,0.005571375510709422
11,13,0.010771325987371549
11,14,0.004952333787297264
11,15,0.007923734059675622
11,16,0.0060666088894391484
11,17,0.0002476166893648632
11,18,0.005818992200074285
11,19,0.013866534604432339
11,21,0.008047542404358054
11,22,0.013742726259749908
11,25,0.002723783583013495
11,27,0.006685650612851307
12,4,0.006685650612851307
12,8,0.006438033923486443
12,10,0.0035904419957905162
12,11,0.00928562585118237
12,12,0.0001238083446824316
12,16,0.006438033923486443
12,17,0.004952333787297264
12,21,0.016714126532128264
12,23,0.010276092608641823
